league
Spain Primera Division
Italian Serie A
German 1. Bundesliga
French Ligue 1
English Premier League
Portuguese Liga ZON SAGRES
Holland Eredivisie
USA Major League Soccer
Chinese Super League
Saudi Abdul L. Jameel League
Turkish Süper Lig
Campeonato Brasileiro Série A
Russian Premier League
Argentina Primera División
Japanese J. League Division 1
Mexican Liga MX
Belgian Jupiler Pro League
Ukrainian Premier League
""
Croatian Prva HNL
English League Championship
Greek Super League
Spanish Segunda División
Czech Republic Gambrinus Liga
Swiss Super League
Scottish Premiership
French Ligue 2
Chilian Campeonato Nacional
Austrian Football Bundesliga
Italian Serie B
Uruguayan Primera División
Danish Superliga
Paraguayan Primera División
Colombian Liga Postobón
German 2. Bundesliga
Australian Hyundai A-League
Norwegian Eliteserien
UAE Arabian Gulf League
Korean K League Classic
Polish T-Mobile Ekstraklasa
Swedish Allsvenskan
Ecuadorian Serie A
South African Premier Division
Romanian Liga I
German 3. Bundesliga
Peruvian Primera División
Rep. Ireland Airtricity League
English League One
Finnish Veikkausliiga
Argentinian Primera B Nacional
Liga de Fútbol Profesional Boliviano
Venezuelan Primera División
English League Two
